I_Code,I_Name,Min_Reorder,I_P_Price,I_S_Price_W,I_S_Price_N,I_S_Price_P,I_Disc
254031029,"م10 م 112 الشجيع",0,220,240,240,260,0
254031030,"م12 م 112 الشجيع",0,230,250,250,270,0
254031031,"م8 م 113 الشجيع",0,210,230,230,250,0
254031032,"م10 م 113 الشجيع",0,220,240,240,260,0
254031033,"م12 م 113 الشجيع",0,230,250,250,270,0
254031034,"م8 م 114 الشجيع",0,210,230,230,250,0
254031035,"م10 م 114 الشجيع",0,220,240,240,260,0
254031036,"م12 م 114 الشجيع",0,230,250,250,270,0
254031037,"م8 م 118 الشجيع",0,210,230,230,250,0
254031038,"م10 م 118 الشجيع",0,220,240,240,260,0
252004001,"بنطلون لولى محير جبردين سوريا",0,285,300,300,320,0
252004002,"بنطلون سادة محير جبردين سوريا",0,250,270,270,290,0
254031039,"م12 م 118 الشجيع",0,230,250,250,270,0
254031040,"م8 م 119 الشجيع",0,210,230,230,250,0
254031041,"م10 م 119 الشجيع",0,220,240,240,260,0
254031042,"م12 م 119 الشجيع",0,230,250,250,270,0
254031043,"م8 م 122 الشجيع",0,210,230,230,250,0
254031044,"م10 م 122 الشجيع",0,220,240,240,260,0
254031045,"م12 م 122 الشجيع",0,230,250,250,270,0
254037001,"اولادى كروه م2 م 1107 خاطر",0,235,245,245,265,0
254037002,"اولادى كروه م4 م 1107 خاطر",0,243,253,253,273,0
254037003,"اولادى كروه م6 م 1107 خاطر",0,251,261,261,281,0
254037004,"اولادى كروه م8 م 1107 خاطر",0,259,269,269,289,0
254037005,"اولادى كروه م 10 م 1107 خاطر",0,267,277,277,297,0
254037006,"اولادى م2 م 1108 خاطر",0,230,240,240,260,0
254037007,"اولادى م4 م 1108 خاطر",0,238,248,248,268,0
254037008,"اولادى م6 م 1108 خاطر",0,246,256,256,276,0
254037009,"اولادى م8 م 1108 خاطر",0,254,264,264,284,0
254037010,"اولادى م10 م 1108 خاطر",0,262,282,282,302,0
254037011,"فست تطريز م2 م 1112 خاطر",0,255,265,265,285,0
254037012,"فست تطريز م4 م 1112 خاطر",0,263,273,273,293,0
254037013,"فست تطريز م6 م 1112 خاطر",0,271,281,281,301,0
254037014,"فست تطريز م8 م 1112 خاطر",0,279,289,289,319,0
254037015,"فست تطريز م10 م 1112 خاطر",0,287,297,297,317,0
254037016,"تايير كروه م2 م 1120 خاطر",0,300,310,310,330,0
254037017,"تايير كروه م4 م 1120 خاطر",0,310,320,320,340,0
254037018,"تايير كروه م6 م 1120 خاطر",0,320,330,330,350,0
254037019,"تايير كروه م8 م 1120 خاطر",0,330,340,340,360,0
254037020,"تايير كروه م10 م 1120 خاطر",0,340,350,350,370,0
254037021,"بدلة بناتى م2 م 1030 خاطر",0,285,295,295,315,0
254037022,"بدلة بناتى م4 م 1030 خاطر",0,295,305,305,325,0
254037023,"بدلة بناتى م 6 م 1030 خاطر",0,305,315,315,335,0
254037024,"بدلة بناتى م8 م 1030 خاطر",0,315,325,325,345,0
254037025,"بدلة بناتى م10 م 1030 خاطر",0,325,335,335,355,0
254037026,"بدلة بناتى بليزر م2 م 512 خاطر",0,340,350,350,370,0
254037027,"بدلة بناتى بليزر م4 م 512 خاطر",0,350,360,360,380,0
254037028,"بدلة بناتى بليزر م6 م 512 خاطر",0,360,370,370,390,0
254037029,"بدلة بناتى بليزر م8 م 512 خاطر",0,370,380,380,400,0
254037030,"بدلة بناتى بليزر م10 م 512 خاطر",0,380,390,390,410,0
254037031,"بدلة تايجر م2 م 315 خاطر",0,255,265,265,285,0
254037032,"بدلة تايجر م4 م 315 خاطر",0,265,275,275,295,0
254037033,"بدلة تايجر م6 م 315 خاطر",0,275,285,285,305,0
254037034,"بدلة تايجر م8 م 315 خاطر",0,285,295,295,315,0
254037035,"بدلة تايجر م10 م 315 خاطر",0,295,305,305,325,0
254036001,"جينز سيبها ع الله",0,180,190,190,210,0
254036002,"ستاره سيبها ع الله",0,200,210,210,230,0
254036003,"سورى سيبها على الله",0,180,190,190,220,0
254036004,"سورى سيبها ع الله",0,200,210,210,230,0
254100001,"فستان م 9901 حصانة",0,350,355,355,375,0
254100002,"فستان م 9902 حصانة",0,480,485,485,505,0
254100005,"فستان م 9907 حصانة",0,520,530,530,550,0
254100006,"فستان م 9908 حصانة ",0,460,470,470,490,0
254100007,"فستان م 9909 حصانة",0,550,560,560,580,0
254100008,"فستان م 2001 حصانة",0,180,185,185,205,0
254100009,"فست م 2002 حصانة",0,280,285,285,305,0
254100011,"فست م 2004 حصانة",0,330,355,355,375,0
254100012,"فست م 2005 حصانة",0,290,295,295,315,0
254100013,"فست م 2006 حصانة",0,350,355,355,375,0
254100014,"سلوبتة م 2007 حصانة",0,480,500,500,520,0
254031046,"م12/10/8 م 601 الشجيع",0,250,270,270,290,0
254031047,"م12/10/8 م 602 الشجيع",0,250,270,270,290,0
254031048,"م12/10/8 م 603 الشجيع",0,250,270,270,290,0
254031049,"م12/10/8 م 604 الشجيع",0,250,270,270,290,0
254031050,"م12/10/8 م 606 الشجيع",0,250,270,270,290,0
254031051,"م12/10/8 م 607 الشجيع",0,250,270,270,290,0
254227001,"اسكوبا بناتى التوحيد ",0,125,135,135,155,0
254227002,"سترة التوحيد اطفال",0,250,269,269,289,0
254227003,"فستان تايجر شطرنج التوحيد",0,270,289,289,309,0
254227004,"بلوزة شيفون التوحيد",0,120,132,132,152,0
254226001,"فستان م6 م 202 هنا",0,210,229,229,249,0
254226002,"بدلة جينز م4/2 م 204 هنا",0,250,269,269,289,0
254226003,"دريس بناتى م3/2 م 210 هنا",0,180,199,199,219,0
254225001,"بدلة مقاسات م 200 خاطر",0,270,285,285,305,0
254225002,"توينز اولادى مقاسات م 600 خاطر كيدز",0,220,235,235,255,0
254225003,"توينز اولادى مقاسات م 700 خاطر كيدز",0,220,235,235,255,0
254225004,"بدلة قميص مشجر مقاسات م 300 خاطر كيدز",0,230,245,245,265,0
254225005,"فست بناتى فرو مقاسات م 750 خاطر ",0,150,165,165,185,0
254225006,"توينز اولادى مقاسات م 550 خاطر",0,190,205,205,225,0
240083005,"بنطلون اولادى جينز مطرز",0,173,194,195,205,0
256163001,"م 013 ارسانى",0,73,82,82,92,0
256163002,"م 215 ارسانى",0,73,82,82,92,0
255591001,"بطانية متادورا برنسيسة *5 ب*ة",0,935,1005,1005,1015,0
252103023,"م600 م6 اولادى حنين",0,175,200,200,220,0
252103024,"اولادى حنين م 600 م 8 حنين",0,175,205,205,225,0
252103025,"اولادى م10 م 600 حنين",0,175,210,210,230,0
252103026,"قميص اولادى م6 م 650 حنين",0,185,215,215,235,0
252103027,"قميص اولادى م8 م 650 حنين",0,185,220,220,240,0
252103028,"قميص اولادى م10 م 650 حنين",0,185,225,225,245,0
252103029,"قميص اولادى م6 م 700 حنين ",0,170,205,205,225,0
252103030,"قميص اولادى م8 م 700 حنين",0,170,210,210,230,0
252103031,"قميص اولادى م10 م 700 حنين",0,170,215,215,235,0
252103032,"قميص اولادى م6 م 750 حنين",0,180,215,215,235,0
252103033,"قميص اولادى م8 م 750 حنين",0,180,220,220,240,0
252103034,"قميص اولادى م10 م 750 حنين",0,180,225,225,245,0
252103035,"بدلة اولادى م6 م 800 حنين",0,335,365,365,385,0
252103036,"بدلة اولادى م8 م 800 حنين",0,335,370,370,390,0
252103037,"بدلة اولادى م10 م 800 حنين",0,335,375,375,395,0
252103038,"توينز اولادى م6 م 850 حنين",0,215,250,250,270,0
252103039,"توينز اولادى م8 م 850 حنين",0,215,260,260,280,0
252103040,"توينز اولادى م10 م 850 حنين",0,215,270,270,290,0
252103041,"توينز م 900 اولادى م6 حنين",0,200,225,225,245,0
252103042,"توينز م 900 اولادى م8 حنين",0,200,230,230,250,0
252103043,"توينز م 900 اولادى م10 حنين",0,200,235,235,255,0
252103044,"توينز م 1000 اولادى م6 حنين",0,205,250,250,270,0
252103045,"توينز م 1000 اولادى م8 حنين",0,205,260,260,280,0
252103046,"توينز م 1000 اولادى م10 حنين",0,205,270,270,290,0
252103047,"توينز م 1050 اولادى م6 حنين ",0,220,250,250,270,0
